instruction,input,output
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les terroristes qui méritent d'être médiatisés sont musulmans.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Un terroriste ne peut pas être musulman puisque seul Allah décide seul du terme de toute vie et qu'il condamne tout ""associé"" autoproclamé à l'enfer.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Sarebbe come dire che tutti gli italiani sono mafiosi e ammazzano la gente con la lupara o sciolgono i bambini nell'acido. Non si può mai generalizzare.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",All people who share such blatant lies and hate are incompatible with any Western society.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Pure lies.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Ho conosciuto molti mussulmani, alcuni anche italiani. Nessuno di loro ha mai provato ad uccidermi perché sono cattolica.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","In the UK there were in 2018 71,000 incidents of violence against Muslims. Perhaps there are more Christians who hate Muslims, don't you think?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Vous connaissez donc toutes les femmes voilées et le contexte dans lequel elles ont commencé à le mettre? Je suis chercheur, je suis preneur.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The frequency of violence is related to social status more than to religion. Inclusion and social differences are a basic bigger problem from which derive these problems.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","According to the Institute for Economics and Peace, a think tank which has produced the Global Peace index for the past 10 years, only Botswana, Chile, Costa Rica, Japan, Mauritius, Panama, Qatar, Switzerland, Uruguay and Vietnam are free from conflict. Qatar has a sizable number of followers of Islam apparently.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam imposes respect not proselytism everyone is free to practice or not!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",That's your opinion and it is far from being a truth.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Non credo che persone che chiedono asilo politico in Italia vengano qui senza nessun motivo. Fuggono perché nel loro Paese di origine non era presente una situazione che favorisse la loro permanenza. Non si può parlare di una sostituzione perché la popolazione musulmana rappresenta solo una piccola parte della popolazione totale italiana. Gli uomini non picchiano le donne e solo le forme più radicali di Islam impongono l'uso del burqa.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I do not know any Muslim who raped non-muslim women.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Buonasera, pensi che i dati dicono che 4 donne su 5 vengono violentate da italiani. Può portare dati per supportare la sua tesi?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Au contraire, il n'y a nulle religion qui met autant en valeur la femme que l'islam!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Almost all Muslims in the UK are jobless and choose not to work.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Accogliamo persone che hanno solo l'intenzione di diffondere violenza e oppressione.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Che noia questi islamici che inseriscono in ogni luogo il loro profeta!,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam has raised the Woman. In Islam a woman is a treasure, a crystal that is sacred!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Les musulmans, sont des citoyens français, comme tout citoyen d'autres confessions religieuses, la religion ne peut remettre en cause la nationalité ou citoyenneté garantie par la République française.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","False, it is completely a personal act.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Any religion is boring when taken too literally included Catholic and Protestant.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",One can be a Muslim and a French.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Si vous prétendez la défendre, donnez lui la parole ne parlez pas à sa place, ne la considérez pas comme un être inférieur qui doit se soumettre à la pensée du plus fort et vous verrez si elle est réellement soumise et obligée.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Criticism based on prejudice and ignorance.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","In un paese civile c'è la convivenza di diverse religioni, nessuna domina sull'altra ma, piuttosto, coesistono pacificamente.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ces propos stigmatisent une partie des citoyens.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Look around you, rape is jihad in the UK. I can remember days when Islam was not here, and now muslim rapists are everywhere.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It is for their religious purpose.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Stop the slander and rumors.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le Coran honore certaines femmes telles que Marie (mère de Jésus) et la femme de Pharaon.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Non, ils'agit d'un choix personnel.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les pays occidentaux ont largement contribué aux guerres.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You do not know any Muslim.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Many Muslims have engaged in protests to demonstrate their upset and disgust regarding the various grooming gangs scandals in the UK.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims: return to your country.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Il est possible de changer de trottoir en démocratie.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les femmes qui se dénudent sont soumis à la dictate de la société.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Vogliono imporre la loro religione anche qui da noi.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",No religion belongs to Europe.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",So do all those Western bombings and invasions of Muslim countries not count as terrorism?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Provi ad informarsi e vedrà che non è così. Anzi proprio perché le moschee non sono cosi diffusi a molti italiani mussulmani risulta difficile raggoungere il loro luogo di culto.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les femmes musulmanes sont libres de penser et d'agir librement.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Et tu penses qu'en les obligeant à la retirer tu leurs donnent plus de libertés?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Se proprio li vuole rimandare indietro, costa meno un biglietto aereo che un viaggio sul barcone. Lo sa che possono arrivare in Italia i solo più benestanti di cui molti laureati? Provi ad immaginare se lo stesso trattamento fosse riservato ai nostri cervelli in fuga all'estero.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam looks like a cult more than like a religion. It is beliefs make people rape children and commit violence. It should not be accepted in our country.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Gli islamici ricondurrano il nostro paese a stati di arretratezza simili a quelli del medioevo, in cui moriremo per la povertà e le malattie.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Il Corano insegna i fedeli a tollerare le altre religioni e a rispettarle. I musulmani possono solo trasmettere i propri principi, ma senza usare la forza.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Have you ever felt obbligated to adapt to the Islamic religion?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Sta a noi renderli partecipe delle conquiste della nostra società, soprattutto in tema di diritti umani. La convivenza è ineluttabile.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I notice great fear in your words, but I think it is unjustified.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Did you even bother to google this before you tweeted it? Some Islamophobic tweets are so incorrect I do not know how you could expect anyone to believe them.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est plutôt la laïcité détournée ou la mondialisation qui détruisent les religions et l'identités des peuples.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les musulmanes sont stigmatisé.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",That is why millions of them come to live in countries where the majority of the population is not Muslim.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",La France n'a pas à faire de commentaire sur la facon dont les musulmans pratique tant qu'ils respectent leur pays!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",So you also agree with castration of all the husbands / boyfriends / violent fellow that have Italian origin?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Does it really matter how Easter Eggs are labelled? I do not think this matter is really important. Calling them in another fashion does not change our culture.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les musulmans prennent pour exemple un homme qui a respecté son oncle qui était non croyant et qui a respecté tout ses engagements envers des nons musulmans.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam is a religion and not a nationality.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est pas le voile qui renferment les femmes voilées mais des tweets comme ceux-ci.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","È colpa degli uomini se dei e profeti sono troppo invadenti, incluso non mancano elementi di maschilismo in ogni religione.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","They create spaces to practice their religion, I do not think that would bother the Catholics that have already their spaces.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It does not seem to me that the majority of Muslims are so intolerant against our society. We cannot confuse a few extremists with those who peacefully practice their religion.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","L'islam n'envahit pas la France. Ce sont les discours haineux qui entretiennent cette impression. Apprendre à connaître l'autre, c'est la voie vers le respect mutuel et des relations interpersonnelles apaisées. Vous verrez alors que les Musulmans vivent leur foi en toute quiétude et dans le respect des libertés d'autrui.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les préjugés menent à la haine.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Are all priests pedophiles?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Soummission à dieu.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims cannot add any value to our culture.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",This is an attack on my freedom.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le voile islamique n'a pas de source dans l'islam politique mais Il peut être utilisé dans un but politique.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The sole purpose of your speech is based on hatred under the guise of Islamophobia.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Women and gay people have been persecuted by many groups all over the world and it needs to change. Is there a particular reason you are picking on Islam?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",In Italia l'Islam sta sostituendo a poco a poco il Cristianesimo.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Je ne vous ai pas forcé en quoi que ce soi et encore moins à m adresser la parole passez votre chemin au lieu d agresser les gens.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims are all violent.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Can you tell us what the problem is? Have you personally met such problem?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Positive news stories*.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Il napalm? Quindi quando sono ancora 'a casa loro'? Che tristezza, che stupide generalizzazioni.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Crede veramente in questa affermazione? Se sì, mi può dire il motivo?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","""muslims"" as a homogeneous whole does not exist.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam asks us to respect the laws of the republic.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",When will the fascist antivirus arrive?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Vogliamo le frontiere chiuse dell'Europa! E allontanamento dell africanizzazione e dell'Islam!! Non hanno tolleranza, e con la loro stessa tolleranza vanno spediti a casa!",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Affirmation qui vise à reléguer une catégorie de citoyens de la sphère publique.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","We should not trust any Muslim, they all could become a terrorist.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Euh du coup je peux avoir la liste des autres type de voile?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Some women work. Others not. Veiled women are women. Some work. Others not.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Stereotypes.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The only disgrace is us being ignorant of other religions and cultures. This is not a society where I want to live.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",For who would represent an enrichment?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Good evening, think that the figures show that 4 of 5 women are raped by Italians. Can you bring data to support his theory?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",According to what do you state that Arabs want to command in Italy?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","By dint of talking about it, it hurts us.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le but de l'islam n'es pas de vous envahir mes de vous libère.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","We could easily substitute the word 'Christians' for the word 'Muslims' in this sentence, without it losing any meaning, since this is as much an issue about 'fundmentalism' as any particular faith.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",La sua affermazione è da denuncia.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I criminali terroristi sono solo delle frange estremiste giustificate da una lettura deviata dell'Islam.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Responding with violence is exactly what terrorism aims.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","If we ignore what fundamentalists of other faiths practice in relation to LGBT and Women's rights, are we not also guilty of double standards?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Italy is our home and of all those who seek to escape death and misery, as well as the law, common sense and civil charity want.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","It is necessary to remember the definition of secularism, which gives freedom of conscience and does not restrict it.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam advocates universal values of sharing love, respect and tolerance, just as the Republic from there on is full of compatibility, do not talk about themes that you see that you do not master.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",They are here because 'civilised' crusaders first went there and more came later we invited them over to rebuild the our civilsation after the war.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You are afraid of what you don't know.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam is of course compatible with the republic. Most Muslims are completely involved in society in various and varied organizations such as associations of parents of students in neighborhoods where others living together is very important.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ce sont les massages de haine qu'il faut combattre. L'islam est une religion qui invite au vivre-ensemble et donc pas au combat.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The level of healthcare response of the Islamic people is similar to ours.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","#visitmymosque.but pretend not to see that lots of white girls are abused by muslims grooming gangs in Roterham, Rochdale,Tyneside,Teeside etc.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Tutte le religioni vogliono testimoniare il proprio credo, ma nessuno lo fa mai con la costrizione.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","If we did not legally prohibit asylum seekers from working, maybe more of them would be employed.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Then find concrete evidence that Muslim women are locked up.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Who confirmed it? What are your sources?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",In most schools the crucifix is,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","So what is your point? Islam is a political religion, the veil does not make it violent or hateful.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Christians and Muslims have always tried to spread their religion, but today they do not impose it by force. Also in the past, Muslims have done this, even if less often than Christians. Keep in mind that in countries such as Egypt, Syria, Iraq, Islamics for almost 1400 years, there are still important Christian minorities today.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",My veil has nothing to do with you.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",There's league table?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Le voile islamique est, selon la croyance musulmane, une prescription religieuse.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I am not responsible for your perception of my veil.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Et l'inverse?car je regarde un livre d'histoire de 3ème. Et c'est gênant pour vous.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Propos isamophobes.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam is a religion of peace whether terrorists like it or not.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You really want to support the role of the State in prescribing what people should eat or drink?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Ce discours se contredit avec la laïcité, d'autre des communautés européennes adoptent l'islam depuis plusieurs siècles, comme d'autres communautés chrétiennes ont conservé leur religion au sein des pays dits musulmans.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What is wrong with accepting and understanding people of different backgrounds?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Maybe prejudice and xenophobia have nothing to contribute to our society.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I do not know if it counts as invasion when lots of Muslims in the UK are British citizens and were born here.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Elles sont libres de le faire.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Italy provides religious freedom, no one can impose religious symbols of a different confession to anyone.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Rapism and extremism are indeed problems of the modern society, but does it mean that they are attributed to Muslims only? This is a much broader problem, we should deal with it, but no need to be chauvinist and accuse Muslims.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Our society indeed has special funding and treatments for immigrants as they are in a vulnerable position. Does it mean that the government is submitting to them? To me it means being humane! You should try to immigrate to another country and then decide whether you feel good as an immigrant or not.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Personally I'd like to deepen the Islamic culture, as well as others with which we are and will increasingly be in contact. I think it would be helpful to be all less ignorant in the interests of peaceful coexistence.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Yes, as well as everything non-Muslims aren't allowed to do by law, Muslims also have to put up with hateful bigotry and prejudice from people like you.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Les musulmans sont embauché par des employeur, comment peuvent ils le volé ?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims need to oppose child rapists instead of talking about islam all the time. This way they would be a peaceful religion.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Gli islamici non devono costruire moschee in Italia, che lo facciano nel loro paese.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Comme toutes les religions, l'Islam est universel et n'a pas un pays spécifique.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","For clarity, I'll reformulate your tweet: the veil is the dress of a Muslim woman who wants to wear it.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Hi, do you really believe that the decision to introduce in a part of the school menu a food anyway considered healthy as the couscous is a symptom of an alleged will to impose a religion?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Muslims have been part of Western society for centuries and centuries, they helped shape and design Western society- to say they are incompatible is a complete incongruity.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Every Muslim is a potential terrorist.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","C'est un choix personnel, la preuve: les bonne sœurs!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The Arabs are not all terrorists, a generalization like this is dangerous, as it is dangerous to think to solve the problem of terrorism by answering with the same violence.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Europe is full of all religions and ethnic groups.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The citizens of a nation (of any religion) are entitled to enjoy their rights conferred by the taxes collected.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C est leur choix si elles veulent.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Nessun arabo ha preteso di imporre le sue decisioni sugli italiani, ma semplicemente la comunità islamica chiede che le sia consentito di professare la propria religione e di vivere secondo la propria cultura.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Sorry I must have missed that episode of grand designs, link?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Quote of a man during the takeover of Mecca it is not the walls that he takes by storm this sound the hearts.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Why do you qualifies them as beasts?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The perception of security often does not reflect reality, it is not true that immigrants commit more murders of Italians.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",La liberté de manifester sa religion est une liberté fondamentale garantie par la loi et ne doit pas donner lieu à une discrimination.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Don't believe biased media coverage about all Muslims being terrorists, the vast majority of Muslims condemn these people. The world is a much better place than what is portrayed in the news.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Ces messages ne font que réveiller tous les fous qui n'ont plus rien à perdre dans toutes les comunités , haine et peur!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I only wish followers of all religions and none were more tolerant. For a tolerant Christian world there sure is a lot of discrimination and hate crime.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Lei sta davvero generalizzando. Tra molte persone per bene c'è certamente qualche criminale, ma come sempre accade. Usare dei termini così poco dignitosi non fa che acuire l'odio, non condivido affatto il suo linguaggio.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What Islam truely is is a religion criticizes violence and encourages love among people. Even British people might commit crimes. Extermination is the same action as crime. We should think of a better way to combat crime and hate wordly.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",We are subject to our Creator as our veiled sisters-christians.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Political Islam? Criminal association.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Il faut comprendre que ces même femmes ont un cerveau comme les autre qu'elles sont allées à l'école et qu'elles ont les mêmes armes que les autres femmes, ne pas les confondre avec des immigrés.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Too much imagination.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","If you stop bludgeoning us all the time, we'd be able to communicate more easily.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Tosh! Criminals are 'equal opportunists', targetting the elderly and vulnerable regardless of their faith or ethnicity.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Comme l'homme les femmes voilées ne sont soumises qu'à dieu.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",La paix.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Did history teach you nothing? How can you say this about an entire group of people?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",So much hatred. We must respect and understand all peoples.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le voile rend sa dignité à la femme.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",On ne les embauches pas car justement elles sont voilées.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The migrants represent the 5th column.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Provided the basis for all Western scientific and philosophical knowledge?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Peace, tolerance, unity, community, cooperation, being neighbourly, are they mental illness too?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Ce qui me terrorise personnellement, c'est l'ignorance que vous étalez fierement aux yeux du monde.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les valeurs islamiques sont différentes de nos valeurs.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Which country should I return to? I am French. If you know of a country called Islamland or Islmistan, please let me know.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","People have the right to build their churches and follow their confession. They are not trying to convert us all, are they? So we should just leave them at peace.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","It is a shame to think like that, because there are so many countries you'll never dare to visit. You are missing out on dozens of opportunities to become smart.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Il existe un pays de musulman? Soit je suis nul en géographie soit y a un problème avec votre phrase d inculte.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Professare ed esercitare la propria religione non vuol dire 'imporla', ma esercitare un proprio diritto, inalienabile.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L'islam est une religion du juste milieu.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Renseignez-vous : l'affaire ""Babilou"", pour ne citer qu'elle, concernait une directrice adjointe qui était voilée.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam is the cancer of the world and need to be surgically removed.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","L'histoire des juifs prouve le contraire. Ce sont les musulmans qui ont assuré leur protection quand des ""catholiques"" les pourchassaient et voulaient les exterminer.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les chrétiens sont tous des terroristes intégristes à la solde de l'ira.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Je porte le foulard alors que je portais des mini jupes. Je suis bien plus sereine et moins la proie des hommes! Desormais je marche tranquillement sans le faire siffler comme si j'étais un toutou!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Can a Muslim wear that many hats? What does he do the rest of his free time? These Muslims must hold polytechnic degrees!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The sins of the individual cannot be sustained by the entire population.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Good morning, the Muslim population in Italy does not exceed 5%, How could this represent a threat to Italians?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Pour un musulman croie ou mécroie qui veut, Allah seul tranchera entre eux et nous. ""a moi ma religion, à toi ta religion"".",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Il numero di islamici in entrata è troppo piccolo per dare significativi cambiamenti nella nostra società e sanità.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I do not understand how our welfare 'support' the people. We try to give the possibility of integration to prevent that the exclusion will turn into delinquency, an event that is independent of the original culture.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Disrespectful is to impose the crucifix to me, an agnostic.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I do not think that can even be possible. 20% of women experience abuse before they are 18 and most from friends and family. That is what we should be stopping.,non-hate
